description,category
Pothole on main road near market,roads
market on near main Pothole road,roads
Pothole road main market on near,roads
Pothole market near on main road,roads
market road on main near Pothole,roads
main market Pothole on near road,roads
near road on main market Pothole,roads
on road Pothole main market near,roads
on road near market Pothole main,roads
market main Pothole on near road,roads
on Pothole near market main road,roads
main Pothole market near road on,roads
on Pothole near market road main,roads
road on market Pothole main near,roads
market near Pothole main on road,roads
main Pothole market near on road,roads
near on Pothole main market road,roads
main near on road Pothole market,roads
Road is broken and damaged,roads
damaged is broken Road and,roads
Road broken is and damaged,roads
damaged Road and broken is,roads
broken and damaged is Road,roads
is damaged Road broken and,roads
broken damaged Road and is,roads
damaged and Road broken is,roads
and damaged broken is Road,roads
is broken damaged and Road,roads
damaged broken is and Road,roads
and broken is Road damaged,roads
is and Road broken damaged,roads
is broken and Road damaged,roads
Road and is damaged broken,roads
and damaged broken Road is,roads
is damaged broken Road and,roads
damaged and Road is broken,roads
damaged Road and is broken,roads
No road repair done for months,roads
No repair done for road months,roads
No months road for done repair,roads
done for No road repair months,roads
months road No repair for done,roads
months done repair road for No,roads
No road for repair done months,roads
No months repair road done for,roads
done months for No repair road,roads
done months road for No repair,roads
road months repair for No done,roads
road repair for done No months,roads
repair for months done road No,roads
No repair for road months done,roads
for road repair months No done,roads
road for repair months done No,roads
for done months road repair No,roads
No repair road done for months,roads
for repair road done No months,roads
months repair done for road No,roads
months road repair done for No,roads
Highway has cracks and potholes,roads
potholes Highway has and cracks,roads
potholes and has cracks Highway,roads
cracks has and potholes Highway,roads
has cracks and Highway potholes,roads
has Highway and cracks potholes,roads
potholes cracks has and Highway,roads
cracks has Highway potholes and,roads
potholes has Highway cracks and,roads
Highway potholes cracks and has,roads
cracks and Highway has potholes,roads
and Highway potholes has cracks,roads
and potholes has Highway cracks,roads
Highway has potholes and cracks,roads
and has Highway potholes cracks,roads
Highway has and cracks potholes,roads
Road construction debris not cleared,roads
Road not cleared construction debris,roads
construction cleared debris Road not,roads
cleared not debris construction Road,roads
Road construction not cleared debris,roads
construction debris Road not cleared,roads
debris construction not cleared Road,roads
debris construction not cleared Road,roads
not debris construction Road cleared,roads
debris not construction cleared Road,roads
construction not cleared debris Road,roads
cleared construction Road not debris,roads
Road cleared construction not debris,roads
Road construction debris cleared not,roads
cleared Road construction not debris,roads
construction not debris cleared Road,roads
cleared Road debris construction not,roads
cleared debris construction Road not,roads
debris not cleared construction Road,roads
not construction debris cleared Road,roads
Speed breaker is too high,roads
too Speed high breaker is,roads
Speed too high is breaker,roads
too breaker Speed high is,roads
high is too breaker Speed,roads
is Speed high breaker too,roads
breaker too high Speed is,roads
is too breaker high Speed,roads
high too is breaker Speed,roads
Speed is breaker high too,roads
is high too breaker Speed,roads
is breaker high Speed too,roads
Speed high breaker is too,roads
Speed too breaker high is,roads
high too is Speed breaker,roads
too is breaker high Speed,roads
breaker high too is Speed,roads
breaker too is high Speed,roads
Speed high breaker is too,roads
breaker too high Speed is,roads
is Speed high too breaker,roads
Footpath is broken near school,roads
near Footpath school is broken,roads
Footpath near school is broken,roads
broken school is near Footpath,roads
broken near Footpath is school,roads
school is Footpath broken near,roads
school near Footpath broken is,roads
is school broken Footpath near,roads
school Footpath broken is near,roads
near broken is school Footpath,roads
is broken school near Footpath,roads
broken school near Footpath is,roads
near school broken is Footpath,roads
school is Footpath near broken,roads
broken Footpath school near is,roads
school Footpath broken near is,roads
school near is broken Footpath,roads
near Footpath broken is school,roads
school is broken near Footpath,roads
broken is school near Footpath,roads
broken school is near Footpath,roads
Tar road has worn off completely,roads
off worn road completely Tar has,roads
worn road off has Tar completely,roads
completely road off Tar has worn,roads
completely worn Tar off has road,roads
road off has worn Tar completely,roads
worn off Tar has completely road,roads
worn Tar has road completely off,roads
road completely off worn Tar has,roads
worn road completely off has Tar,roads
road worn off has Tar completely,roads
worn road Tar completely has off,roads
Tar has completely road worn off,roads
Tar road off worn completely has,roads
has off worn completely road Tar,roads
road completely off worn has Tar,roads
Tar road has completely off worn,roads
road Tar off completely worn has,roads
No water supply since 3 days,water
since water 3 No days supply,water
water supply days 3 since No,water
water supply No since days 3,water
since water supply days No 3,water
supply since 3 No days water,water
days since 3 supply water No,water
No supply since water 3 days,water
water days since No 3 supply,water
supply water 3 since No days,water
3 No supply days water since,water
3 supply water since No days,water
water No days 3 since supply,water
supply days since No water 3,water
since days supply 3 water No,water
water since supply No 3 days,water
Water is contaminated and dirty,water
Water dirty is and contaminated,water
is Water dirty contaminated and,water
is dirty contaminated and Water,water
Water is contaminated and dirty,water
dirty is Water contaminated and,water
dirty Water is contaminated and,water
Water and contaminated dirty is,water
dirty contaminated and is Water,water
dirty Water and is contaminated,water
dirty is contaminated Water and,water
contaminated dirty is and Water,water
Water contaminated dirty and is,water
contaminated is dirty and Water,water
is and contaminated dirty Water,water
and Water contaminated dirty is,water
and Water dirty is contaminated,water
and Water dirty is contaminated,water
dirty and contaminated is Water,water
Water is contaminated dirty and,water
Pipe leaking near house,water
house Pipe near leaking,water
near leaking Pipe house,water
near house Pipe leaking,water
house leaking Pipe near,water
house near leaking Pipe,water
leaking Pipe house near,water
leaking near Pipe house,water
Pipe house near leaking,water
Pipe near house leaking,water
near house leaking Pipe,water
Pipe near house leaking,water
house Pipe leaking near,water
leaking Pipe house near,water
Pipe house leaking near,water
near Pipe house leaking,water
house near leaking Pipe,water
Low water pressure in area,water
Low pressure area in water,water
Low in area pressure water,water
in area water pressure Low,water
in pressure area water Low,water
Low water pressure in area,water
water Low area pressure in,water
in Low water area pressure,water
pressure water Low in area,water
Low water pressure in area,water
pressure in Low water area,water
area in pressure water Low,water
Low in area pressure water,water
water pressure area in Low,water
water in area pressure Low,water
Low area in water pressure,water
Water tank overflow flooding street,water
Water tank flooding overflow street,water
Water tank flooding overflow street,water
street Water overflow tank flooding,water
flooding street tank Water overflow,water
street flooding tank overflow Water,water
flooding overflow street Water tank,water
tank overflow street flooding Water,water
tank flooding street overflow Water,water
tank overflow Water flooding street,water
street overflow Water flooding tank,water
flooding street Water tank overflow,water
tank flooding street overflow Water,water
Water tank overflow street flooding,water
Water street flooding tank overflow,water
flooding overflow Water street tank,water
flooding Water tank overflow street,water
tank Water overflow street flooding,water
tank Water street overflow flooding,water
flooding tank Water overflow street,water
Borewell not working,water
Borewell working not,water
not Borewell working,water
Borewell not working,water
not Borewell working,water
Borewell working not,water
not working Borewell,water
not Borewell working,water
Borewell not working,water
not Borewell working,water
not working Borewell,water
not working Borewell,water
Borewell not working,water
Borewell not working,water
Borewell working not,water
not working Borewell,water
working Borewell not,water
Water supply timing is irregular,water
irregular timing Water supply is,water
supply Water timing is irregular,water
timing supply Water is irregular,water
irregular timing is Water supply,water
timing Water is supply irregular,water
is supply irregular timing Water,water
irregular supply timing is Water,water
timing supply irregular Water is,water
is Water timing irregular supply,water
timing is Water supply irregular,water
irregular supply is timing Water,water
is Water supply timing irregular,water
irregular is supply Water timing,water
irregular Water timing is supply,water
timing Water is supply irregular,water
is irregular Water timing supply,water
is Water irregular timing supply,water
Water irregular timing is supply,water
timing Water irregular supply is,water
Tap water has bad smell,water
Tap has bad water smell,water
has smell Tap water bad,water
bad smell Tap water has,water
smell Tap water bad has,water
Tap smell has bad water,water
Tap water smell has bad,water
smell Tap water bad has,water
Tap water smell bad has,water
bad has water Tap smell,water
has Tap water bad smell,water
water smell Tap has bad,water
has Tap bad water smell,water
has Tap smell water bad,water
bad Tap has smell water,water
water smell Tap has bad,water
bad water has smell Tap,water
has smell bad water Tap,water
Tap smell water bad has,water
Power cut for 5 hours daily,electricity
hours Power for cut daily 5,electricity
for cut hours Power daily 5,electricity
for hours 5 Power cut daily,electricity
cut daily for 5 Power hours,electricity
Power 5 for daily cut hours,electricity
Power daily cut hours for 5,electricity
5 Power for cut hours daily,electricity
cut Power hours 5 daily for,electricity
cut Power daily 5 for hours,electricity
Power cut for hours 5 daily,electricity
daily for 5 cut hours Power,electricity
for Power cut 5 daily hours,electricity
Power daily hours for 5 cut,electricity
cut 5 hours for daily Power,electricity
cut Power hours for 5 daily,electricity
daily cut for hours 5 Power,electricity
for Power 5 daily cut hours,electricity
daily for cut Power hours 5,electricity
for cut 5 Power daily hours,electricity
Electric pole is damaged and leaning,electricity
leaning pole is damaged Electric and,electricity
is leaning Electric pole and damaged,electricity
Electric and pole leaning damaged is,electricity
is and Electric leaning pole damaged,electricity
is leaning damaged and Electric pole,electricity
leaning is damaged pole Electric and,electricity
Electric leaning pole damaged is and,electricity
and leaning pole is Electric damaged,electricity
leaning Electric pole damaged is and,electricity
and leaning pole damaged is Electric,electricity
damaged leaning Electric and pole is,electricity
pole leaning damaged Electric and is,electricity
leaning pole Electric and damaged is,electricity
and leaning is Electric pole damaged,electricity
is damaged leaning pole and Electric,electricity
Electric and damaged is pole leaning,electricity
and leaning damaged is pole Electric,electricity
Transformer burnt and not replaced,electricity
replaced Transformer not burnt and,electricity
burnt Transformer replaced not and,electricity
Transformer not replaced and burnt,electricity
not and burnt Transformer replaced,electricity
Transformer replaced not and burnt,electricity
and replaced not Transformer burnt,electricity
and replaced Transformer burnt not,electricity
not burnt Transformer replaced and,electricity
burnt not replaced and Transformer,electricity
burnt and replaced not Transformer,electricity
burnt replaced Transformer and not,electricity
not and burnt Transformer replaced,electricity
replaced not and burnt Transformer,electricity
burnt and replaced Transformer not,electricity
not replaced burnt and Transformer,electricity
Frequent voltage fluctuation,electricity
Frequent voltage fluctuation,electricity
voltage fluctuation Frequent,electricity
Frequent voltage fluctuation,electricity
Frequent voltage fluctuation,electricity
Frequent voltage fluctuation,electricity
fluctuation voltage Frequent,electricity
voltage Frequent fluctuation,electricity
fluctuation Frequent voltage,electricity
Frequent voltage fluctuation,electricity
Frequent voltage fluctuation,electricity
Frequent fluctuation voltage,electricity
voltage Frequent fluctuation,electricity
Frequent fluctuation voltage,electricity
fluctuation Frequent voltage,electricity
fluctuation Frequent voltage,electricity
Frequent fluctuation voltage,electricity
Frequent voltage fluctuation,electricity
Frequent fluctuation voltage,electricity
fluctuation voltage Frequent,electricity
Frequent voltage fluctuation,electricity
Electricity bill is too high incorrect,electricity
too high bill Electricity incorrect is,electricity
high too incorrect Electricity is bill,electricity
high Electricity bill too incorrect is,electricity
Electricity high bill is incorrect too,electricity
high too Electricity incorrect bill is,electricity
too high is incorrect bill Electricity,electricity
Electricity incorrect high too bill is,electricity
incorrect too high is Electricity bill,electricity
too high incorrect is Electricity bill,electricity
bill incorrect is Electricity high too,electricity
incorrect too high bill is Electricity,electricity
is bill Electricity too incorrect high,electricity
bill incorrect Electricity too is high,electricity
is incorrect bill high too Electricity,electricity
Electricity high too bill incorrect is,electricity
Electricity incorrect too high bill is,electricity
Wire hanging dangerously low,electricity
dangerously hanging low Wire,electricity
dangerously Wire low hanging,electricity
hanging Wire low dangerously,electricity
hanging Wire low dangerously,electricity
low hanging Wire dangerously,electricity
low Wire dangerously hanging,electricity
Wire hanging low dangerously,electricity
dangerously Wire low hanging,electricity
low hanging Wire dangerously,electricity
Wire hanging dangerously low,electricity
dangerously hanging low Wire,electricity
Wire dangerously hanging low,electricity
hanging low Wire dangerously,electricity
low dangerously Wire hanging,electricity
low dangerously Wire hanging,electricity
dangerously low Wire hanging,electricity
No electricity in new colony,electricity
No electricity new colony in,electricity
electricity colony in No new,electricity
electricity No colony in new,electricity
No in colony new electricity,electricity
electricity new in colony No,electricity
No colony new in electricity,electricity
No in electricity colony new,electricity
new electricity No colony in,electricity
new No colony in electricity,electricity
electricity new colony No in,electricity
electricity in new No colony,electricity
colony No electricity new in,electricity
new No in colony electricity,electricity
in No colony electricity new,electricity
No electricity new colony in,electricity
colony No in electricity new,electricity
colony in new No electricity,electricity
in No electricity new colony,electricity
No electricity in colony new,electricity
Meter not working properly,electricity
not properly working Meter,electricity
working properly Meter not,electricity
working not properly Meter,electricity
not properly Meter working,electricity
Meter working not properly,electricity
Meter not properly working,electricity
working not properly Meter,electricity
not working properly Meter,electricity
properly Meter working not,electricity
working Meter properly not,electricity
not working Meter properly,electricity
Meter working not properly,electricity
properly not working Meter,electricity
Meter working not properly,electricity
properly Meter working not,electricity
working not properly Meter,electricity
Garbage not collected for a week,sanitation
for a collected not Garbage week,sanitation
week a Garbage not collected for,sanitation
a not week for collected Garbage,sanitation
a week Garbage collected for not,sanitation
not collected for a Garbage week,sanitation
not Garbage for a collected week,sanitation
not week for a Garbage collected,sanitation
collected not for Garbage week a,sanitation
week a not Garbage collected for,sanitation
collected for week Garbage not a,sanitation
Garbage not collected a for week,sanitation
for collected a Garbage week not,sanitation
a not collected week Garbage for,sanitation
collected Garbage a for not week,sanitation
week not Garbage collected for a,sanitation
for collected a Garbage week not,sanitation
not for week collected a Garbage,sanitation
Open dumping near residential area,sanitation
residential Open dumping near area,sanitation
dumping near Open area residential,sanitation
Open residential area dumping near,sanitation
residential near area Open dumping,sanitation
residential area Open near dumping,sanitation
area residential near dumping Open,sanitation
Open area near residential dumping,sanitation
Open residential dumping near area,sanitation
dumping residential Open area near,sanitation
Open dumping near residential area,sanitation
near Open area dumping residential,sanitation
dumping area residential Open near,sanitation
area Open residential near dumping,sanitation
area near dumping residential Open,sanitation
area residential Open dumping near,sanitation
Open residential dumping near area,sanitation
dumping residential near Open area,sanitation
near dumping area Open residential,sanitation
residential Open near dumping area,sanitation
area residential Open near dumping,sanitation
Dustbins overflowing in locality,sanitation
Dustbins overflowing in locality,sanitation
overflowing locality Dustbins in,sanitation
overflowing locality Dustbins in,sanitation
locality Dustbins in overflowing,sanitation
Dustbins overflowing locality in,sanitation
overflowing Dustbins in locality,sanitation
in Dustbins overflowing locality,sanitation
locality in overflowing Dustbins,sanitation
locality in Dustbins overflowing,sanitation
locality in overflowing Dustbins,sanitation
overflowing in Dustbins locality,sanitation
overflowing locality in Dustbins,sanitation
Dustbins locality overflowing in,sanitation
in Dustbins overflowing locality,sanitation
locality Dustbins in overflowing,sanitation
Stray animals in garbage dump,sanitation
Stray in garbage dump animals,sanitation
dump garbage animals Stray in,sanitation
dump Stray in garbage animals,sanitation
dump animals garbage in Stray,sanitation
garbage dump in Stray animals,sanitation
in Stray dump garbage animals,sanitation
Stray in animals garbage dump,sanitation
Stray in garbage animals dump,sanitation
dump garbage animals Stray in,sanitation
in animals Stray dump garbage,sanitation
Stray animals in dump garbage,sanitation
in Stray animals garbage dump,sanitation
dump in Stray garbage animals,sanitation
dump animals garbage Stray in,sanitation
Stray dump animals in garbage,sanitation
No sweeping of roads,sanitation
sweeping No roads of,sanitation
No sweeping of roads,sanitation
of sweeping No roads,sanitation
sweeping of roads No,sanitation
No sweeping roads of,sanitation
No roads sweeping of,sanitation
sweeping of roads No,sanitation
sweeping roads of No,sanitation
No roads sweeping of,sanitation
sweeping of No roads,sanitation
sweeping roads of No,sanitation
sweeping roads of No,sanitation
of No sweeping roads,sanitation
roads sweeping No of,sanitation
of No roads sweeping,sanitation
Public toilet is not maintained,sanitation
maintained not toilet Public is,sanitation
Public maintained is toilet not,sanitation
maintained not is Public toilet,sanitation
maintained toilet not Public is,sanitation
is not Public maintained toilet,sanitation
toilet not Public maintained is,sanitation
is not Public maintained toilet,sanitation
maintained not toilet Public is,sanitation
Public maintained not is toilet,sanitation
maintained not Public is toilet,sanitation
toilet not is maintained Public,sanitation
toilet maintained not Public is,sanitation
toilet not Public maintained is,sanitation
maintained Public not toilet is,sanitation
is Public maintained toilet not,sanitation
Garbage burning causing pollution,sanitation
Garbage burning pollution causing,sanitation
Garbage burning causing pollution,sanitation
causing Garbage burning pollution,sanitation
Garbage causing pollution burning,sanitation
Garbage burning pollution causing,sanitation
burning pollution causing Garbage,sanitation
pollution causing burning Garbage,sanitation
Garbage pollution causing burning,sanitation
causing burning Garbage pollution,sanitation
pollution burning causing Garbage,sanitation
burning pollution Garbage causing,sanitation
pollution causing burning Garbage,sanitation
causing Garbage pollution burning,sanitation
burning Garbage causing pollution,sanitation
pollution causing burning Garbage,sanitation
Garbage causing pollution burning,sanitation
pollution burning causing Garbage,sanitation
pollution burning causing Garbage,sanitation
pollution burning Garbage causing,sanitation
Waste segregation not followed,sanitation
followed Waste not segregation,sanitation
Waste not followed segregation,sanitation
Waste not segregation followed,sanitation
Waste not segregation followed,sanitation
followed segregation not Waste,sanitation
followed Waste segregation not,sanitation
segregation not followed Waste,sanitation
not followed Waste segregation,sanitation
segregation not Waste followed,sanitation
followed Waste segregation not,sanitation
not followed Waste segregation,sanitation
not Waste followed segregation,sanitation
not followed Waste segregation,sanitation
not followed Waste segregation,sanitation
Waste not followed segregation,sanitation
Drain is blocked and overflowing,drainage
and is overflowing blocked Drain,drainage
and is Drain overflowing blocked,drainage
Drain and overflowing blocked is,drainage
Drain is blocked overflowing and,drainage
overflowing Drain blocked and is,drainage
overflowing is Drain and blocked,drainage
Drain overflowing is and blocked,drainage
and is Drain overflowing blocked,drainage
and is overflowing blocked Drain,drainage
and is Drain overflowing blocked,drainage
is blocked overflowing Drain and,drainage
blocked and Drain overflowing is,drainage
is overflowing and Drain blocked,drainage
overflowing is blocked Drain and,drainage
blocked overflowing and Drain is,drainage
is Drain overflowing blocked and,drainage
is and overflowing Drain blocked,drainage
Sewage water on the road,drainage
Sewage on water road the,drainage
Sewage water the road on,drainage
Sewage on the water road,drainage
road the on water Sewage,drainage
road the on water Sewage,drainage
Sewage water the road on,drainage
Sewage the road on water,drainage
water the on Sewage road,drainage
on water road the Sewage,drainage
water on Sewage the road,drainage
road the water Sewage on,drainage
the on water Sewage road,drainage
Sewage road water on the,drainage
Sewage water road on the,drainage
Sewage water the on road,drainage
road the Sewage on water,drainage
on the water Sewage road,drainage
road on Sewage the water,drainage
Manhole cover is missing,drainage
cover is missing Manhole,drainage
is cover missing Manhole,drainage
cover is Manhole missing,drainage
is cover missing Manhole,drainage
cover is missing Manhole,drainage
cover missing is Manhole,drainage
missing Manhole cover is,drainage
missing is Manhole cover,drainage
is cover Manhole missing,drainage
Manhole cover is missing,drainage
cover missing is Manhole,drainage
Manhole missing cover is,drainage
missing is cover Manhole,drainage
cover is missing Manhole,drainage
cover is Manhole missing,drainage
is Manhole cover missing,drainage
Drain water entering houses,drainage
water entering houses Drain,drainage
water Drain houses entering,drainage
water houses Drain entering,drainage
